,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Mianke Mor,20,PK,1578627258,80,31.31,74.05,41.0,3.36
375,Prado,30,CO,1578627258,61,3.75,-74.93,70.59,6.78
376,Alpatovo,90,RU,1578627258,93,43.7,45.24,35.6,8.95
377,Grand Gaube,40,MU,1578627258,78,-20.01,57.66,78.01,3.36
378,Crofton,1,US,1578626983,65,39.0,-76.69,36.0,5.82
379,Karlskoga,90,SE,1578627258,96,59.33,14.52,36.0,10.29
380,Kruisfontein,71,ZA,1578627258,94,-34.0,24.73,60.96,7.54
381,Pronsk,100,RU,1578627258,92,54.21,39.6,33.01,3.0
382,Kommunisticheskiy,100,RU,1578627258,92,61.68,64.48,15.3,11.01
383,Ilebo,100,CD,1578627258,92,-4.33,20.59,69.76,0.96
384,Provincia di Mantova,40,IT,1578627120,100,45.16,10.79,35.01,1.12
385,Valleyview,95,CA,1578627259,99,55.07,-117.28,-10.39,0.83
386,Nalut,0,LY,1578627259,77,31.86,10.98,46.74,5.95
387,Kodinsk,21,RU,1578627259,97,58.6,99.18,-3.93,3.29
388,Abu Dhabi,20,AE,1578626972,82,24.47,54.37,66.2,13.87
389,Kasongo,99,CD,1578627259,98,-4.43,26.67,68.74,1.57
390,Kandi,100,BJ,1578627259,28,11.13,2.93,72.07,5.44
391,Borba,50,BR,1578627259,98,-4.39,-59.59,73.74,1.63
392,Picos,7,BR,1578627259,88,-7.08,-41.47,71.76,2.8
393,Hinundayan,66,PH,1578627259,80,10.35,125.25,81.41,16.44
394,Chip Lake,20,CA,1578627259,83,53.65,-115.58,-5.8,8.05
395,Anan,20,JP,1578627259,43,33.93,134.5,51.8,14.99
396,Esloev,71,SE,1578627259,100,55.84,13.3,48.2,8.05
397,Corralillo,51,CU,1578627259,80,22.98,-80.59,76.33,26.89
398,Massaguet,11,TD,1578627259,22,12.48,15.44,68.0,10.29
399,Joensuu,0,FI,1578627259,86,62.6,29.76,28.0,11.41
400,Port Hardy,90,CA,1578627260,86,50.7,-127.42,37.4,17.22
401,Eureka,1,US,1578627260,75,40.8,-124.16,46.4,3.36
402,Tak Bai,20,TH,1578627260,74,6.26,102.05,84.2,6.93
403,Half Moon Bay,20,US,1578627260,87,37.46,-122.43,50.0,5.64
404,Kigoma,20,TZ,1578627260,94,-4.88,29.64,68.0,10.71
405,Rocha,1,UY,1578627206,91,-34.48,-54.34,63.48,5.21
406,Emba,20,CY,1578627260,61,34.92,32.53,50.0,10.29
407,Chimbote,5,PE,1578627260,84,-9.08,-78.59,70.16,4.63
408,Vestmannaeyjar,100,IS,1578627275,93,63.44,-20.27,36.68,19.91
409,Talcahuano,0,CL,1578627275,82,-36.72,-73.12,57.2,12.75
410,Ust-Nera,100,RU,1578627275,100,64.57,143.24,-38.65,1.95
411,Kavieng,100,PG,1578627275,90,-2.57,150.8,79.29,18.3
412,Poletayevo,40,RU,1578627275,79,55.04,61.11,24.8,8.95
413,Manicore,82,BR,1578627275,96,-5.81,-61.3,73.08,1.63
414,Launceston,75,AU,1578627275,64,-41.43,147.14,71.6,19.46
415,Yurga,40,RU,1578627275,83,55.79,84.89,-4.0,4.47
416,Agapovka,90,RU,1578627275,92,53.14,59.15,19.4,8.95
417,Portland,1,US,1578627158,72,43.66,-70.25,19.99,3.89
418,Mutis,42,CO,1578627275,80,6.23,-77.4,81.14,1.63
419,Solton,94,RU,1578627275,96,52.84,86.48,4.8,0.85
420,Amurrio,75,ES,1578627276,87,43.05,-3.0,50.0,1.12
421,La Ronge,5,CA,1578627276,69,55.1,-105.3,-9.4,10.29
422,Khash,99,IR,1578627276,70,28.22,61.21,46.99,6.71
423,Torbay,75,CA,1578627214,78,47.66,-52.73,19.99,20.8
424,Porto Alegre,20,BR,1578627276,83,-30.0,-51.08,81.0,3.36
425,Taitung,75,TW,1578627276,64,22.76,121.15,75.2,5.82
426,Leeton,64,AU,1578627276,12,-34.55,146.4,118.0,14.99
427,Petropavlovsk-Kamchatsky,99,RU,1578627276,50,53.05,158.65,28.4,22.37
428,Okhotsk,0,RU,1578627276,70,59.36,143.24,-7.35,19.04
429,Maceio,0,BR,1578627069,88,-9.67,-35.74,73.4,4.7
430,Batagay-Alyta,98,RU,1578627276,87,67.8,130.41,-16.51,3.36
431,Rafai,0,CF,1578627276,34,4.95,23.92,68.56,5.06
432,Snyder,1,US,1578627276,35,32.72,-100.92,59.0,11.41
433,Bambanglipuro,100,ID,1578627276,70,-7.95,110.28,83.17,7.9
434,Burnie,100,AU,1578627276,91,-41.05,145.91,64.99,17.0
435,Williams Lake,90,CA,1578627276,92,52.13,-122.14,17.6,9.17
436,Abha,40,SA,1578627276,82,18.39,42.45,57.2,10.29
437,Waddan,0,LY,1578627276,74,29.16,16.14,45.75,5.77
438,Clyde River,1,CA,1578627276,74,70.47,-68.59,-23.8,8.05
439,Phan Thiet,0,VN,1578627090,48,10.93,108.1,84.42,4.99
440,Lubango,100,AO,1578627277,97,-14.92,13.49,59.14,5.17
441,Cascais,40,PT,1578627062,81,38.7,-9.42,54.0,4.7
442,Takoradze,4,GH,1578627277,87,4.89,-1.75,78.87,7.74
443,Kerema,100,PG,1578627277,81,-7.96,145.78,80.13,4.76
444,As Si`in,10,SY,1578627277,94,35.3,37.18,41.63,6.98
445,Krutinka,39,RU,1578627277,97,56.01,71.51,-3.6,9.48
446,Zhangjiakou,0,CN,1578627277,72,40.77,114.88,9.66,5.28
447,Mojokerto,85,ID,1578627277,67,-7.54,112.45,85.57,3.09
448,Miles City,90,US,1578627277,85,46.41,-105.84,15.01,8.05
449,Palm Desert,1,US,1578627277,58,33.73,-116.38,60.8,4.7
450,Hasaki,20,JP,1578627277,50,35.73,140.83,54.0,13.87
451,General Pico,0,AR,1578627277,35,-35.66,-63.75,65.95,6.4
452,Karabash,39,RU,1578627277,91,55.49,60.21,14.02,9.78
453,Teguise,75,ES,1578627277,68,29.06,-13.56,66.2,11.41
454,Whitehorse,75,CA,1578627215,75,60.72,-135.05,-18.0,5.82
455,Atherton,100,AU,1578627277,62,-17.27,145.48,90.0,12.75
456,San Patricio,43,PY,1578627277,63,-26.98,-56.83,83.77,6.6
457,Kassala,3,SD,1578627277,29,15.45,36.38,55.33,6.89
458,Svetlaya,40,RU,1578627278,62,46.54,138.33,23.11,3.56
459,Santiago del Estero,76,AR,1578627293,78,-27.8,-64.26,80.35,2.91
460,Sioux Lookout,90,CA,1578627293,85,50.1,-91.92,15.8,5.82
461,Palitana,0,IN,1578627293,63,21.52,71.82,60.8,9.17
462,Bani Walid,94,LY,1578627293,79,31.76,14.0,50.72,3.58
463,Antibes,0,FR,1578627293,64,43.56,6.97,46.99,1.12
464,Balagansk,87,RU,1578627293,96,54.01,103.05,7.11,2.53
465,Japura,100,ID,1578627293,72,-0.42,102.29,83.3,4.03
466,Opuwo,49,NA,1578627067,51,-18.06,13.84,69.06,7.78
467,Winnemucca,1,US,1578627293,58,40.97,-117.74,24.8,4.7
468,Kudahuvadhoo,82,MV,1578627293,80,2.67,72.89,81.45,14.14
469,Punta Gorda,75,BZ,1578627293,94,16.17,-88.94,73.4,1.28
470,Bon Success,76,GY,1578627293,60,3.38,-59.8,81.52,14.97
471,Touros,75,BR,1578627293,88,-5.2,-35.46,77.0,2.24
472,El Campo,90,US,1578627257,88,29.2,-96.27,72.0,17.22
473,Cintalapa de Figueroa,20,MX,1578627293,98,16.7,-93.73,59.81,2.42
474,Toora-Khem,11,RU,1578627293,97,52.47,96.11,-8.95,1.5
475,Poya,100,NC,1578627294,83,-21.35,165.16,77.99,18.72
476,Medea,75,DZ,1578627294,93,36.27,2.77,51.8,9.17
477,Hastings,89,NZ,1578627294,68,-39.64,176.84,64.6,10.02
478,Guerrero Negro,8,MX,1578627294,73,27.97,-114.04,57.87,18.05
479,Okha,0,RU,1578627294,87,53.59,142.95,6.89,15.77
480,Kemin,100,KG,1578627294,48,42.79,75.7,21.85,5.93
481,Byron Bay,0,AU,1578627002,66,-28.65,153.62,95.0,24.16
482,Neftcala,89,AZ,1578627294,80,39.37,49.25,47.62,9.19
483,Arlit,53,NE,1578627294,31,18.74,7.39,66.79,3.31
484,Sao Felix do Xingu,0,BR,1578627294,97,-6.64,-51.99,70.88,1.74
485,Chapais,90,CA,1578627294,84,49.78,-74.86,-2.2,12.75
486,Batagay,61,RU,1578627294,97,67.65,134.64,-21.44,2.75
487,The Pas,90,CA,1578627294,76,53.82,-101.24,-4.0,11.41
488,Morgan City,1,US,1578627294,93,29.7,-91.21,66.99,6.93
489,Lenger,100,KZ,1578627294,68,42.18,69.89,28.4,11.18
490,Carutapera,83,BR,1578627294,80,-1.2,-46.02,80.65,12.03
491,Mount Gambier,90,AU,1578627294,93,-37.83,140.78,57.2,5.82
492,Gwadar,99,PK,1578627295,59,25.12,62.33,68.63,13.69
493,Tuatapere,100,NZ,1578627295,79,-46.13,167.69,57.0,11.99
494,Berlevag,100,NO,1578627295,88,70.86,29.09,34.97,17.25
495,Mukhen,87,RU,1578627295,81,48.19,136.14,11.95,2.55
496,Bamako,74,ML,1578627295,24,12.65,-8.0,71.6,6.93
497,De Aar,0,ZA,1578627295,67,-30.65,24.01,61.81,17.31
498,Bujumbura,100,BI,1578627295,94,-3.48,29.48,57.36,2.51
499,Maaseik,75,NL,1578627295,87,51.09,5.79,50.0,14.99
500,Simao,4,CN,1578627295,55,22.76,100.79,65.39,3.06
501,Nagua,35,DO,1578627295,92,19.37,-69.85,72.46,8.63
502,Urusha,100,RU,1578627295,93,54.05,122.9,9.21,2.1
503,Nouadhibou,0,MR,1578627295,72,20.93,-17.03,59.0,20.8
504,Tilichiki,100,RU,1578627295,95,60.47,166.1,0.18,11.21
505,Melhus,90,NO,1578627295,80,63.2,10.3,37.4,3.36
506,Scottsbluff,90,US,1578627295,74,41.87,-103.67,33.8,3.74
507,Baie-Comeau,1,CA,1578627295,64,49.18,-68.27,6.8,6.93
508,Sedalia,90,US,1578627157,93,38.7,-93.23,55.4,6.93
509,Snezhnogorsk,45,RU,1578627295,80,69.19,33.23,33.8,8.95
510,Mo i Rana,100,NO,1578627311,93,66.4,14.52,35.01,1.01
511,Yarmouth,5,CA,1578627311,78,43.84,-66.12,19.0,4.7
512,Pandan,0,PH,1578627311,73,11.72,122.09,82.56,20.04
513,Puerto Colombia,83,CO,1578627311,74,10.99,-74.96,80.6,18.34
514,Kununurra,40,AU,1578627311,53,-15.77,128.74,95.0,9.17
515,Lokosovo,92,RU,1578627311,89,61.13,74.84,7.5,14.61
516,Kumul,67,CN,1578627311,57,42.84,93.51,21.49,5.06
517,Poopo,88,BO,1578627311,49,-18.38,-66.97,56.82,7.0
518,Sao Jose da Coroa Grande,9,BR,1578627311,80,-8.9,-35.15,79.97,11.34
519,Harper,75,US,1578627311,82,30.3,-99.24,66.0,3.36
520,Gimli,48,CA,1578627311,91,50.56,-96.99,5.0,10.83
521,Ambon,90,FR,1578627311,81,47.55,-2.56,48.99,9.17
522,Riyadh,0,SA,1578627087,87,24.63,46.72,50.0,2.75
523,Casambalangan,89,PH,1578627311,83,18.38,122.13,76.89,19.46
